Change Component Footprint: Designator=BUZZER1 Old Footprint=BUZ-TH_BD12.0-P7.60-D0.6-FD New Footprint=Buzzer
Change Component Footprint: Designator=C1 Old Footprint=CAP0603 New Footprint=C0603
Change Component Footprint: Designator=C2 Old Footprint=CAP0603 New Footprint=C0603
Change Component Footprint: Designator=C3 Old Footprint=CAP0603 New Footprint=C0603
Change Component Footprint: Designator=C4 Old Footprint=CAP0603 New Footprint=C0603
Change Component Footprint: Designator=C17 Old Footprint=CAP0603 New Footprint=C0603
Change Component Footprint: Designator=C18 Old Footprint=CAP0603 New Footprint=C0603
Change Component Footprint: Designator=C19 Old Footprint=CAP0603 New Footprint=C0603
Change Component Footprint: Designator=C20 Old Footprint=CAP0603 New Footprint=C0603
Change Component Footprint: Designator=C21 Old Footprint=CAP0603 New Footprint=C0603
Change Component Footprint: Designator=C22 Old Footprint=CAP0603 New Footprint=C0603
Change Component Footprint: Designator=C23 Old Footprint=CAP0603 New Footprint=C0603
Change Component Footprint: Designator=C24 Old Footprint=CAP0603 New Footprint=C0603
Change Component Footprint: Designator=C25 Old Footprint=CAP0603 New Footprint=C0603
Change Component Footprint: Designator=C26 Old Footprint=CAP0603 New Footprint=C0603
Change Component Footprint: Designator=C27 Old Footprint=CAP0603 New Footprint=C0603
Change Component Footprint: Designator=C28 Old Footprint=CAP0603 New Footprint=C0603
Change Component Footprint: Designator=C29 Old Footprint=CAP0603 New Footprint=C0603
Change Component Footprint: Designator=C30 Old Footprint=CAP0603 New Footprint=C0603
Change Component Footprint: Designator=C31 Old Footprint=CAP0603 New Footprint=C0603
Change Component Footprint: Designator=C32 Old Footprint=CAP0603 New Footprint=C0603
Change Component Footprint: Designator=C33 Old Footprint=CAP0603 New Footprint=C0603
Change Component Footprint: Designator=C34 Old Footprint=CAP0603 New Footprint=C0603
Change Component Footprint: Designator=C35 Old Footprint=CAP0603 New Footprint=C0603
Change Component Footprint: Designator=C36 Old Footprint=CAP0603 New Footprint=C0603
Change Component Footprint: Designator=C37 Old Footprint=CAP0603 New Footprint=C0603
Change Component Footprint: Designator=C38 Old Footprint=CAP0603 New Footprint=C0603
Change Component Footprint: Designator=C39 Old Footprint=CAP0603 New Footprint=C0603
Change Component Footprint: Designator=C40 Old Footprint=CAP0603 New Footprint=C0603
Change Component Footprint: Designator=C41 Old Footprint=CAP0603 New Footprint=C0603
Change Component Footprint: Designator=C42 Old Footprint=CAP0603 New Footprint=C0603
Change Component Footprint: Designator=C43 Old Footprint=CAP0603 New Footprint=C0603
Change Component Footprint: Designator=D5 Old Footprint=Diode New Footprint=SOD-123_L2.8-W1.8-LS3.7-FD
Change Component Footprint: Designator=D6 Old Footprint=Diode New Footprint=SOD-123_L2.8-W1.8-LS3.7-FD
Change Component Footprint: Designator=U7 Old Footprint=DRV8701E New Footprint=VQFN-24_L4.0-W4.0-P0.50-LS4.0-BL-EP
Change Component Footprint: Designator=U8 Old Footprint=DRV8701E New Footprint=VQFN-24_L4.0-W4.0-P0.50-LS4.0-BL-EP
Change Component Footprint: Designator=SW3 Old Footprint=Key New Footprint=KEY-SMD_L6.2-W3.6-LS8.0
Change Component Footprint: Designator=SW4 Old Footprint=Key New Footprint=KEY-SMD_L6.2-W3.6-LS8.0
Change Component Footprint: Designator=LED3 Old Footprint=LED0603 New Footprint=LED0805-RD_RED
Change Component Footprint: Designator=LED4 Old Footprint=LED0603 New Footprint=LED0805-RD_RED
Change Component Footprint: Designator=LED5 Old Footprint=LED0603 New Footprint=LED0805-RD_RED
Change Component Footprint: Designator=Q3 Old Footprint=MOS New Footprint=POWERVDFN-8_L6.2-W5.2-P1.27-LS6.0-BL
Change Component Footprint: Designator=Q4 Old Footprint=MOS New Footprint=POWERVDFN-8_L6.2-W5.2-P1.27-LS6.0-BL
Change Component Footprint: Designator=Q5 Old Footprint=MOS New Footprint=POWERVDFN-8_L6.2-W5.2-P1.27-LS6.0-BL
Change Component Footprint: Designator=Q6 Old Footprint=MOS New Footprint=POWERVDFN-8_L6.2-W5.2-P1.27-LS6.0-BL
Change Component Footprint: Designator=Q7 Old Footprint=MOS New Footprint=POWERVDFN-8_L6.2-W5.2-P1.27-LS6.0-BL
Change Component Footprint: Designator=Q8 Old Footprint=MOS New Footprint=POWERVDFN-8_L6.2-W5.2-P1.27-LS6.0-BL
Change Component Footprint: Designator=Q9 Old Footprint=MOS New Footprint=POWERVDFN-8_L6.2-W5.2-P1.27-LS6.0-BL
Change Component Footprint: Designator=Q10 Old Footprint=MOS New Footprint=POWERVDFN-8_L6.2-W5.2-P1.27-LS6.0-BL
Change Component Footprint: Designator=X2 Old Footprint=OSC1 New Footprint=OSC-SMD_4P-L5.0-W3.2-BL
Change Component Footprint: Designator=X1 Old Footprint=OSC2 New Footprint=FC-135R_L3.2-W1.5
Change Component Footprint: Designator=J3 Old Footprint=Pin1X3 New Footprint=HDR-M-2.54_1X3
Change Component Footprint: Designator=J4 Old Footprint=Pin1X3 New Footprint=HDR-M-2.54_1X3
Change Component Footprint: Designator=J5 Old Footprint=Pin1X3 New Footprint=HDR-M-2.54_1X3
Change Component Footprint: Designator=J6 Old Footprint=Pin1X3 New Footprint=HDR-M-2.54_1X3
Change Component Footprint: Designator=J7 Old Footprint=Pin1X3 New Footprint=HDR-M-2.54_1X3
Change Component Footprint: Designator=J8 Old Footprint=Pin1X3 New Footprint=HDR-M-2.54_1X3
Change Component Footprint: Designator=J9 Old Footprint=Pin1X3 New Footprint=HDR-M-2.54_1X3
Change Component Footprint: Designator=J10 Old Footprint=Pin1X3 New Footprint=HDR-M-2.54_1X3
Change Component Footprint: Designator=J14 Old Footprint=Pin1X4 New Footprint=HDR-M-2.54_1X4
Change Component Footprint: Designator=J15 Old Footprint=Pin1X4 New Footprint=HDR-M-2.54_1X6
Change Component Footprint: Designator=J16 Old Footprint=Pin1X4 New Footprint=HDR-M-2.54_1X6
Change Component Footprint: Designator=J11 Old Footprint=Pin1x6 New Footprint=HDR-M-2.54_1X6
Change Component Footprint: Designator=H1 Old Footprint=Pin1X8 New Footprint=HDR-F-2.54_1X8
Change Component Footprint: Designator=H2 Old Footprint=Pin2X3 New Footprint=HDR-SMD_6P-P2.54-V-M-R2-C3-S2.54-LS7.4
Change Component Footprint: Designator=L2 Old Footprint=RES0603 New Footprint=L0603
Change Component Footprint: Designator=L3 Old Footprint=RES0603 New Footprint=L0603
Change Component Footprint: Designator=R1 Old Footprint=RES0603 New Footprint=R0603
Change Component Footprint: Designator=R2 Old Footprint=RES0603 New Footprint=R0603
Change Component Footprint: Designator=R3 Old Footprint=RES0603 New Footprint=R0603
Change Component Footprint: Designator=R4 Old Footprint=RES0603 New Footprint=R0603
